,subtasks,description,crafter_subtasks
109,"['Collect Coal', 'Make Iron Pickaxe', 'Place Plant']"," ""Collect coals, forge an iron pick, and place a seedling.""Here's a possible version of the instruction in the style of Tolkien:""Gather the black gold of the earth, forge a tool of iron, and set a tender sprout in its place.""This version uses more descriptive language and a more formal tone, as one might find in Tolkien's writing. It also adds a bit of casualness by using the phrase ""black gold of the earth"" to refer to coal, and ""tender sprout"" to refer to a plant. The sentence structure is similar to the original instruction, with each action presented as a separate sentence.","['collect_coal', 'make_iron_pickaxe', 'place_plant']"
110,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Seek out the materials to forge a stone pickaxe, gather iron from the earth, and shape an iron sword with skill and care.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
111,"['Make Wood Sword with count 2', 'Place Plant', 'Place Stone']"," ""Craft two wooden blades, as if from the Shire's own forest, and place a sturdy stone and a lively plant within the surroundings, as if they were plucked from the verdant hills of Middle-earth.""","['make_wood_sword', 'make_wood_sword', 'place_plant', 'place_stone']"
112,"['Defeat Zombie', 'Eat Cow', 'Make Iron Sword with count 3']","""Vanquish the undead creature, dine on a bovine, and craft a metallic blade with a quantity of three.""","['defeat_zombie', 'eat_cow', 'make_iron_sword', 'make_iron_sword', 'make_iron_sword']"
113,"['Make Stone Pickaxe with count 2', 'Collect Coal', 'Make Iron Pickaxe with count 3', 'Collect Diamond with count 2']","""Procure two stone pickaxes, gather three units of coal, manufacture an iron pickaxe with a count of three, and amass two diamonds.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
114,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Procure materials to craft a stone pickaxe, gather iron, and fashion an iron sword.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
115,"['Defeat Zombie', 'Collect Coal', 'Collect Wood']","Instruct the agent to vanquish the undead, gather anthracite, and amass lumber within the virtual environment.","['defeat_zombie', 'collect_coal', 'collect_wood']"
116,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Fashion a pickaxe from wood, gather some stones, and forge a sword of stone.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
117,"['Make Wood Pickaxe with count 2', 'Collect Stone with count 2', 'Make Stone Pickaxe with count 1', 'Collect Iron']"," ""Seek two staves of wood, and from them, fashion a pickaxe. Gather two stones, and with them, too, create a pickaxe. Lastly, obtain some iron.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
118,"['Defeat Skeleton', 'Eat Cow', 'Make Stone Pickaxe', 'Collect Iron']","Instruct the agent to vanquish the skeletal foe, devour a bovine, craft a stone pickaxe, and gather iron.","['defeat_skeleton', 'eat_cow', 'make_stone_pickaxe', 'collect_iron']"
119,"['Collect Wood', 'Make Wood Pickaxe', 'Collect Sapling']","""Gather firewood, craft a wooden pickaxe, and obtain a sapling.""","['collect_wood', 'make_wood_pickaxe', 'collect_sapling']"
120,"['Defeat Zombie', 'Collect Stone', 'Make Stone Pickaxe']","""Vanquish the undead, gather pebbles, and craft a stone tool for mining.""","['defeat_zombie', 'collect_stone', 'make_stone_pickaxe']"
121,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe']","""Gather firewood, construct a table, and craft a wooden pickaxe.""","['collect_wood', 'place_table', 'make_wood_pickaxe']"
122,"['Defeat Zombie with count 2', 'Eat Cow with count 3', 'Collect Stone', 'Place Stone']"," 'In the land of the virtual, an adventurer must strive to slay two undead creatures, feast on three beasts of the field, acquire a stone, and then place it.'","['defeat_zombie', 'defeat_zombie', 'eat_cow', 'eat_cow', 'eat_cow', 'collect_stone', 'place_stone']"
123,"['Collect Drink', 'Collect Drink', 'Collect Drink']"," ""Thrice in the virtual realm, let the beverage be yours.""","['collect_drink', 'collect_drink', 'collect_drink']"
124,"['Collect Wood', 'Make Iron Sword with count 1', 'Defeat Skeleton']"," 'Collect timber for a blaze, beat iron into a sharpened edge, and banish the spectral foes with a sturdy weapon.'","['collect_wood', 'make_iron_sword', 'defeat_skeleton']"
125,"['Collect Drink with count 2', 'Collect Sapling', 'Place Furnace']","""Gather a beverage twice, obtain a sapling, and set down a stove.""","['collect_drink', 'collect_drink', 'collect_sapling', 'place_furnace']"
126,"['Collect Stone', 'Place Furnace with count 5', 'Collect Sapling', 'Place Plant', 'Eat Plant']","""Gather a rock, position a furnace with a quantity of five, acquire a sapling, situate a vegetation, and consume a flora.""","['collect_stone', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'collect_sapling', 'place_plant', 'eat_plant']"
127,"['Defeat Skeleton', 'Eat Cow', 'Place Plant']"," ""Defeat the undead foe, dine on a beast of burden, and plant a living sprout.""","['defeat_skeleton', 'eat_cow', 'place_plant']"
128,"['Defeat Zombie', 'Collect Sapling with count 1', 'Place Plant']"," ""Slay the ghastly undead, claim a young tree's life, and place a seedling in the earth.""","['defeat_zombie', 'collect_sapling', 'place_plant']"
129,"['Collect Wood', 'Defeat Zombie with count 3', 'Collect Wood']"," ""Vanquish adversaries, seek a balm for health, and then again vanquish the foes.""","['collect_wood', 'defeat_zombie', 'defeat_zombie', 'defeat_zombie', 'collect_wood']"
130,"['Make Iron Pickaxe with count 3', 'Collect Diamond', 'Collect Diamond with count 3']","""Obtain three iron ingots and craft a pickaxe, then gather nine diamonds.""","['make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond', 'collect_diamond', 'collect_diamond']"
131,"['Make Stone Pickaxe', 'Collect Stone', 'Wake Up']","""Acquire the necessary materials to craft a stone pickaxe, gather the raw mineral resource, and rouse yourself from a resting state.""","['make_stone_pickaxe', 'collect_stone', 'wake_up']"
132,"['Collect Diamond', 'Collect Iron', 'Make Iron Pickaxe']"," ""Seek a diamond and an iron, then forge a pickaxe from the iron.""","['collect_diamond', 'collect_iron', 'make_iron_pickaxe']"
133,"['Collect Sapling', 'Place Plant', 'Make Wood Pickaxe']"," ""Find a young sapling, carefully uproot it, and with patience and skill, shape it into a wooden pickaxe.""","['collect_sapling', 'place_plant', 'make_wood_pickaxe']"
134,"['Collect Wood', 'Place Table', 'Collect Sapling']"," 'Collect logs, build a sturdy table, and find a young sapling.'","['collect_wood', 'place_table', 'collect_sapling']"
135,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone with count 1', 'Make Stone Sword']","""Consume bovine flesh, craft a wooden pickaxe, gather one unit of rock, and forge a stone sword.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
136,"['Collect Wood', 'Place Furnace', 'Wake Up']","Gather firewood, install a heating device, and rouse oneself from sleep.","['collect_wood', 'place_furnace', 'wake_up']"
137,"['Collect Sapling', 'Place Plant', 'Place Table', 'Make Wood Pickaxe with count 3', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']"," ""Find a young tree, place a seedling, establish a board, carve a wooden pick three times from timber, collect pebbles, fashion a stone tool, and gather iron.""","['collect_sapling', 'place_plant', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
138,"['Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Gather firewood, construct a table with exactly two items on it, create a wooden pickaxe, obtain rocks, and fashion a stone sword.""","['collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
139,"['Collect Diamond', 'Collect Wood with count 4', 'Place Table with count 1']"," ""Seek a gem of diamond, collect four pieces of wood, and place a table alone.""","['collect_diamond', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
140,"['Eat Cow', 'Place Table', 'Make Iron Sword']","""Consume beef, position a piece of furniture, and forge a metallic weapon.""","['eat_cow', 'place_table', 'make_iron_sword']"
141,"['Eat Cow', 'Collect Sapling', 'Make Iron Pickaxe']","""Consume beef, gather a young tree, and forge an iron pickaxe.""","['eat_cow', 'collect_sapling', 'make_iron_pickaxe']"
142,"['Make Wood Pickaxe', 'Collect Sapling', 'Collect Iron']"," ""Seek out the necessary materials for the forging of a wooden pickaxe, find a young tree, and delve into the earth for iron.""","['make_wood_pickaxe', 'collect_sapling', 'collect_iron']"
143,"['Collect Wood', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']","""Gather timber, craft a wooden pickaxe, mine coal, forge an iron pickaxe, and extract diamonds.""","['collect_wood', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
144,"['Collect Stone with count 2', 'Make Stone Sword', 'Place Stone']","""Gather two units of stone, craft a stone sword, and position the stone in the designated area.""","['collect_stone', 'collect_stone', 'make_stone_sword', 'place_stone']"
145,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
146,"['Make Iron Sword with count 3', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table']","""Fashion a trio of Iron Swords, craft an Iron Pickaxe, gather Wood, and situate a Table in the environment.""","['make_iron_sword', 'make_iron_sword', 'make_iron_sword', 'make_iron_pickaxe', 'collect_wood', 'place_table']"
147,"['Collect Drink', 'Collect Stone with count 1', 'Place Stone']","""Acquire a beverage, then obtain a single stone and subsequently position it.""","['collect_drink', 'collect_stone', 'place_stone']"
148,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']","""Gather firewood, construct a table, craft a wooden pickaxe, excavate rocks, and manufacture a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
149,"['Collect Sapling', 'Place Plant', 'Eat Plant']"," ""Find a sapling, plant it in the earth, and dine on the greenery.""","['collect_sapling', 'place_plant', 'eat_plant']"
150,"['Collect Diamond', 'Place Plant', 'Collect Wood']"," 'In the land of the digital, a wanderer must seek the gemstone of worth, plant a seedling of life, and gather the timber of the ancients.'","['collect_diamond', 'place_plant', 'collect_wood']"
151,"['Collect Stone with count 3', 'Collect Wood with count 4', 'Place Table']"," ""Seek out three stones, and four pieces of wood, then shape a table from them.""","['collect_stone', 'collect_stone', 'collect_stone', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
152,"['Collect Iron', 'Make Iron Sword', 'Defeat Zombie']","""Gather the essential mineral, craft a weapon from it, and then use the weapon to vanquish the undead creature.""","['collect_iron', 'make_iron_sword', 'defeat_zombie']"
153,"['Collect Diamond with count 1', 'Eat Cow', 'Make Wood Pickaxe']","Instruct the agent to gather exactly one diamond, consume a cow, and craft a wooden pickaxe.","['collect_diamond', 'eat_cow', 'make_wood_pickaxe']"
154,"['Collect Diamond', 'Place Plant', 'Make Stone Pickaxe', 'Collect Iron']","""Gather the precious gemstone, plant a flora specimen, craft a chisel made of rock, and extract the metal.""","['collect_diamond', 'place_plant', 'make_stone_pickaxe', 'collect_iron']"
155,"['Eat Cow', 'Collect Sapling', 'Eat Cow']"," ""Slay a beast of burden, claim a sapling, and then feast upon the beast once more.""","['eat_cow', 'collect_sapling', 'eat_cow']"
156,"['Collect Sapling', 'Place Plant', 'Make Iron Sword']"," ""Find a sapling, plant a garden, and forge a sword from iron.""","['collect_sapling', 'place_plant', 'make_iron_sword']"
157,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
158,"['Collect Sapling', 'Make Stone Pickaxe', 'Collect Drink']","""Gather a young tree, manufacture a chisel made of stone, and obtain a beverage.""","['collect_sapling', 'make_stone_pickaxe', 'collect_drink']"
159,"['Collect Iron', 'Make Iron Sword', 'Place Furnace']","""Gather the mineral ore, forge it into a sharp weapon, and install a facility for smelting.""","['collect_iron', 'make_iron_sword', 'place_furnace']"
160,"['Collect Sapling', 'Place Plant', 'Collect Sapling']","""Gather a young tree, position it in the ground, and subsequently obtain another young tree.""","['collect_sapling', 'place_plant', 'collect_sapling']"
161,"['Collect Coal', 'Make Iron Pickaxe', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']"," ""Gather coals from the earth, forge an iron pickaxe in the fires of the smithy, carve a wooden pickaxe from the heart of the tree, amass stones from the riverbed, and place them with care.""","['collect_coal', 'make_iron_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
162,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 3', 'Make Stone Sword with count 1']"," ""Gather firewood, build a table, craft a wooden pickaxe, mine three stones with it, and forge a sword of stone.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'make_stone_sword']"
163,"['Eat Cow', 'Collect Sapling', 'Eat Plant']","""Consume a bovine, gather a young tree, and ingest a vegetable.""","['eat_cow', 'collect_sapling', 'eat_plant']"
164,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal']"," 'Bid the agent to bring low the unliving, fashion a pickaxe of wood, and gather the black stone of the earth, in the virtual realm.'","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal']"
165,"['Collect Iron', 'Make Iron Sword', 'Place Furnace']"," ""Mine the precious stone, shape it into a fine blade, and build a forge for refining.""","['collect_iron', 'make_iron_sword', 'place_furnace']"
166,"['Collect Sapling', 'Place Plant', 'Eat Plant']"," ""Find a sapling, plant it in the earth, and dine on the greenery.""","['collect_sapling', 'place_plant', 'eat_plant']"
167,"['Collect Coal with count 3', 'Make Iron Pickaxe', 'Eat Cow with count 1']","""Gather a trio of coal, forge an iron pickaxe, and consume a cow.""","['collect_coal', 'collect_coal', 'collect_coal', 'make_iron_pickaxe', 'eat_cow']"
168,"['Collect Wood', 'Place Table', 'Collect Stone', 'Make Stone Pickaxe with count 2', 'Collect Iron with count 3', 'Make Iron Sword with count 2']","Gather timber, set up a table, accumulate stones, manufacture a stone pickaxe twice, amass iron in quantities of three, and create an iron sword twice.","['collect_wood', 'place_table', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'collect_iron', 'collect_iron', 'make_iron_sword', 'make_iron_sword']"
169,"['Collect Diamond', 'Wake Up', 'Collect Iron']"," ""Seek out the glittering diamonds, awaken the sleepers, and gather the iron.""","['collect_diamond', 'wake_up', 'collect_iron']"
170,"['Make Stone Sword', 'Place Plant', 'Eat Cow']"," ""Fashion a stone knife, place a plant, and dine on a beast of the bovine variety.""","['make_stone_sword', 'place_plant', 'eat_cow']"
